name, author, rating, format, year
Louisiana Longshot (A Miss Fortune Mystery~ Book 1),Jana DeLeon,4.6,Kindle,2013
The Sleeping Girls: A Riveting Mystery,James Hunt,4.5,Kindle,2019
Hold On! - Season 1: An Action Thriller,Peter Darley,4.4,Kindle,2015
The Dead and the Missing (Adam Park Thriller Book 1),A. D. Davies,4.0,Kindle,2015
Footprints in the Frosting (Holly Hart Cozy Mystery Series Book 1),Laura Pauling,4.3,Kindle,2015
Murder in the Art Gallery: A Pet Portraits Cozy Mystery (Book 1),Sandi Scott,4.4,Kindle,2017
Cliffhanger (The Belinda & Bennett Mysteries~ Book One),Amy Saunders,4.0,Kindle,2012
An Artless Demise (A Lady Darby Mystery),Anna Lee Huber,4.8,Paperback,2019
Turn the Tide,Katie Ruggle,4.6,Kindle,2019
Lights! Camera! Puzzles!: A Puzzle Lady Mystery (Puzzle Lady Mysteries),Parnell Hall,3.0,Kindle,2019
A Blooms~ Bones and Stones Cozy Mystery Boxed Set Books 1 to 6,Olivia Swift,4.6,Kindle,2019
Total Control,David Baldacci,4.5,Kindle,2002
Kayla Michelle Three-Book Cozy Mystery Set,Kayla Michelle,4.6,Kindle,2019
RANCOUR: A gripping murder mystery set on the west coast of Scotland (Detective Inspector Munro murder mysteries Book 8),Pete Brassett,4.5,Kindle,2018
Barbecue~ Bourbon and Bullets: A HoneyBun Shop Mystery (HoneyBun Shop Mysteries Book 2),M.E. Harmon,4.1,Kindle,2015
Broken Bone China (A Tea Shop Mystery),Laura Childs,4.4,Hardcover,2019
Three Seconds To Rush (Piper Anderson Legacy Mystery Book 1),Danielle Stewart,4.3,Kindle,2016
Death of a Cantankerous Old Coot (Lizzie Crenshaw Mysteries Book 1),Teresa Watson,4.3,Kindle,2011
Death of a Celebrity (Book 1 of a Harriet Rose Cozy Murder Mystery Series) (Harriet Rose Humorous Cozy Murder Mysteries),Eleanor Calder,4.0,Kindle,2015
Dealing With The Duchess (Mayfair Book 1),JR Salisbury,4.0,Kindle,2016
In the Line of Ire (Lexi Graves Mysteries Book 13),Camilla Chafer,4.9,Kindle,2019
In the Line of Ire (Lexi Graves Mysteries Book 13),Camilla Chafer,4.9,Kindle,2019
Death of a Dapper Snowman (Stormy Day Mystery Book 1),Angela Pepper,4.3,Kindle,2017
Pelican Cove Cozy Mystery Series Box Set 1: Books 1-4 in Pelican Cove Cozy Mysteries,Leena Clover,5.0,Kindle,2019
Bakeries and Bones (A Westford Bay B&B Cozy Mystery - Book Zero),Nic Roberts,4.2,Kindle,2017
True Confections: An Amish Cupcake Cozy Mystery,Ruth Hartzler,4.7,Kindle,2019
Murder at the Ladies Club: A Violet Carlyle Cozy Historical Mystery (The Violet Carlyle Mysteries Book 9),Beth Byers,4.9,Kindle,2019
Hitting the Books (A Library Lover's Mystery Book 9),Jenn McKinlay,4.5,Kindle,2018
A Trace of Death (A Keri Locke Mystery--Book #1),Blake Pierce,4.5,Kindle,2016
Loss Of Reason: A Thriller (State Of Reason Mystery~ Book 1),Miles A. Maxwell,4.2,Kindle,2015
Family Ghouls (A Greek Ghouls Mystery Book 1),Alex A. King,4.1,Kindle,2017
Deadhead and Buried (English Cottage Garden Mysteries ~ Book 1) (The English Cottage Garden Mysteries),H.Y. Hanna,4.5,Kindle,2019
The Forgotten Painting: A Historical Mystery Novella,Gabriel Farago,4.4,Kindle,2016
From Garden To Grave (The Leafy Hollow Mysteries Book 1),Rickie Blair,4.5,Kindle,2017
The Murder Files - 8 Stories of Murder~ Lies and Mystery: (A thriller and suspense short story collection),Terry Keys,3.5,Kindle,2017
A Stab in the Dark: (A Whodunit Antiques Cozy Mystery Book 2),Shelly West,4.8,Paperback,2019
K.M. Morgan Eleven-Book Cozy Mystery Set,K.M. Morgan,4.2,Kindle,2019
Gone The Next (Roy Ballard Mysteries Book 1),Ben Rehder,4.5,Kindle,2012
The Northminster Mysteries Box Set 1: Books 1-3 (The Northminster Mysteries Box Sets),Harriet Smart,3.8,Kindle,2018
Due Process (Joe Dillard Series Book 9),Scott Pratt,4.7,Kindle,2018
Sea Changes: Sea Adventure Women's Fiction (Seafarers Book 1),Ruth Hay,4.2,Kindle,2015
Deadly Dancing (Mars Cannon Book 1),Nicolette Pierce,4.1,Kindle,2012
An Innocent Client (Joe Dillard Series Book 1),Scott Pratt,4.5,Kindle,2013
Two Tocks before Midnight: A 19th Century Historical Murder Mystery Novella (The Agora Mystery Series Book 1),Clay Boutwell,4.4,Kindle,2012
Divine Secrets: A Divine Cozy Mystery (Divine Christian Cozy Mysteries Series Book 2),Hope Callaghan,4.9,Kindle,2019
Previous Confections: An Amish Cupcake Cozy Mystery,Ruth Hartzler,4.9,Kindle,2019
Invitation Only Murder (A Lucy Stone Mystery),Leslie Meier,,Hardcover,2019
Breaker: (Charlie Cobb Book #1: Fast-paced Vigilante Justice Thrillers),Rob Aspinall,4.0,Kindle,2017
Greed: An Amber Monroe Crime Thriller Book 1,C.M. Sutter,4.2,Kindle,2018
Color Me Crazy: A Cozy Mystery (An Annie Addison Cozy Mystery Book 1),Molly Dox,3.9,Kindle,2014
Rolling Out a Mystery: Christian Cozy Mystery (A Baker’s Dozen Cozy Mystery Book 2),,,Kindle,2019
Dark Falls (Dark Falls~ CO Romantic Thriller Book 1),Lori Ryan,4.4,Kindle,2018
The Good Knight (The Gareth & Gwen Medieval Mysteries Book 1),Sarah Woodbury,4.2,Kindle,2011
Rolling Out a Mystery: Christian Cozy Mystery (A Baker’s Dozen Cozy Mystery Book 2),,,Kindle,2019
Dark Falls (Dark Falls~ CO Romantic Thriller Book 1),Lori Ryan,4.4,Kindle,2018
The Good Knight (The Gareth & Gwen Medieval Mysteries Book 1),Sarah Woodbury,4.2,Kindle,2011
The Others (Haunted From Without - Book One)  : A Mystery & Detective Paranormal Action & Adventure Medical Thriller Conspiracy,,4.0,Kindle,2018
The mysteries of Huhlvan: Lilac,,,Kindle,2019
The David Wolf Mystery Thriller Series: Books 1-4 (The David Wolf Series Box Set),Jeff Carson,4.7,Kindle,2017
Waiter~ There's a Clue In My Soup! Five Mystery Stories,Camille LaGuire,3.6,Kindle,2010
Past Crimes: A Compendium of Historical Mysteries,Ashley Gardner,4.3,Kindle,2017
Witches of the West: A collection of Cozy Witch Mysteries,Alexandria Clarke,4.7,Kindle,2018
Killer Cupcakes (Lexy Baker Cozy Mystery Series Book 1),Leighann Dobbs,3.8,Kindle,2012
An Affair to Dismember (Matchmaker Mysteries Book 1),Elise Sax,4.2,Kindle,2017
Center Stage: Magnolia Steele Mystery #1,Denise Grover Swank,4.4,Kindle,2016
Sunshine Hunter (A Susan Hunter Mystery Book 1),Maddie Cochere,3.9,Kindle,2013
Summer of the Woods (The Virginia Mysteries),Steven K. Smith,4.7,Paperback,2013
Darcy Sweet Mystery - Books One to Six: Box Set One (Darcy Sweet Mystery Box Set Book 1),K.J. Emrick,4.5,Kindle,2014
A Terminal Agenda (The Severance Series Book 1),Mark McKay,4.3,Kindle,2015
Wine's Up? (Rosemary Harbor Mystery Book 1),Wendy Meadows,4.5,Kindle,2019
Drained (An Agent Hank Rawlings FBI Thriller Book 1),E.H. Reinhard,4.1,Kindle,2015
Enoch's Vault (Alex McEwan Mysteries Book 1),Richard Mosses,5.0,Kindle,2014
The Moor: A DCI Ryan Mystery (The DCI Ryan Mysteries Book 12),LJ Ross,,Kindle,2019
Iced in Alaska (Flight Risk Cozy Mystery Book 10),Susan Harper,4.6,Kindle,2019
Closure: Jack Randall #1,Randall Wood,4.6,Kindle,2009
His Hand In the Storm: Gray James Detective Murder Mystery and Suspense (Chief Inspector Gray James Detective Murder Mystery Series Book 1),Ritu Sethi,4.0,Kindle,2018
The Odd Mystery of the Cursed Duke: A Clean & Sweet Regency Historical Romance Novel,,4.7,Kindle Edition,2019
Made in Savannah Cozy Mysteries Box Set II: (Books 4-6 in the Made in Savannah Cozy Mystery Series),Hope Callaghan,4.9,Kindle,2019
Murder on The Mind (The Jeff Resnick Mystery Series Book 1),L.L. Bartlett,4.3,Kindle,2008
Murder in Park Lane (The Detective Lavender Mysteries Book 5),Karen Charlton,4.9,Kindle,2019
Cream Puff Murder: A Seagrass Sweets Cozy Mystery (Book 1),Sandi Scott,4.4,Kindle,2016
Happiness is a Smoking Gun (A Clarissa Spencer Cozy Mystery Book 1),Alaine Allister,4.1,Kindle,2015
FLYING SAUCER AT CEARÁ: ABDUCTION IN CEARÁ (mystery Book 1),,,Kindle Edition,2019
A Killer Thriller Collection - Eight The Hard Way (Mystery Thriller Suspense),Nick Stephenson,3.8,Kindle,2013
Ring Around the Rosie (An Olivia Thompson Mystery Book 1),Jullian Scott,4.0,Kindle,2016
A Killer Thriller Collection - Eight The Hard Way (Mystery Thriller Suspense),Nick Stephenson,3.8,Kindle,2013
Ring Around the Rosie (An Olivia Thompson Mystery Book 1),Jullian Scott,4.0,Kindle Edition,2016
Dying Eyes (Brian McDone Mysteries Book 1),Ryan Casey,3.7,Kindle,2013
Obsidian Murder: A Violet Carlyle Cozy Historical Mystery (The Violet Carlyle Mysteries Book 8),Beth Byers,4.6,Kindle,2019
Retribution: A Psychic Detective Kate Pierce Crime Thriller Book 1 (Psychic Detective Kate Pierce Crime Thriller Series),C.M. Sutter,4.5,Kindle,2018
Come What May: A Private Investigator Series of Crime and Suspense Thrillers (The Malone Mystery Novels Book 1),Larry Darter,4.1,Kindle,2016
Polar Bear Dawn: A Detective Bernadette Callahan Mystery (Detective Bernadette Callahan of the Royal Canadian Mounted Police Book 1),Lyle Nicholson,4.4,Kindle,2013
Deadly Secrets: A Mapleton Mystery,Terry Odell,4.4,Kindle,2011
Slave Graves (River Sunday Romance Mysteries Book 1),Thomas Hollyday,4.1,Kindle,2013
Gin & Murder: A Violet Carlyle Cozy Historical Mystery (The Violet Carlyle Mysteries Book 7),Beth Byers,4.7,Kindle,2019
Capture Me,Anna Zaires,4.4,Kindle,2015
The Twisted King~ The Naive Lover~ and The House of Joy and Pain: Keagan and Monae BWWM Romance (A Keagan Handcuffs and Lace Mystery Book 5),Christine Gray,4.9,Kindle,2019
Wisteria Witches (Wisteria Witches Mysteries Book 1),Angela Pepper,4.4,Kindle,2017
Ripley: Lost in a sea of secrets. A Haunting Mystery of Shattered Dreams,Jacqui Penn,4.5,Kindle,2015
Reel of Fortune (A Miss Fortune Mystery Book 12),Jana DeLeon,4.9,Kindle,2018
Artifacts of Death (Manny Rivera Mystery Series Book 1),Rich Curtin,4.6,Kindle,2011
A Will to Murder (A Molly Wright Cozy Mystery Book 1),K.J. Emrick,3.7,Kindle,2017
A Dangerous Collaboration (A Veronica Speedwell Mystery),Deanna Raybourn,4.7,Hardcover,2019
Starboard Secrets: A Cruise Ship Cozy Mystery (Cruise Ship Christian Cozy Mysteries Series Book 1),Hope Callaghan,4.2,Kindle,2015
Brass Keys to Murder (Mystery & Suspense Short Stories Collection),L. Ron Hubbard,4.0,Kindle,2009
The Devil's Teeth (Ravenwood Mysteries Book 5),Sabrina Flynn,,Kindle,2019
The Teacher: Penny Green Short Mystery 1,Emily Organ,4.1,Kindle,2017
Mercy & Mayhem: A Mercy Mares Cozy Mystery Book One,Ava Mallory,3.9,Kindle,2015
Jack in the Box: A Dead Cold Mystery,Blake Banner,5.0,Kindle,2019
Tangerine Dream & Murder: An Oceanside Cozy Mystery Book 74,Susan Gillard,5.0,Kindle,2019
THE OXFORD MYSTERY an absolutely gripping whodunit full of twists,,4.3,Kindle,2019
War of the Realms: Journey Into Mystery,,,Paperback,2019
A Hillcrest Witch Mystery Collection: Books 1 - 5,Amorette Anderson,4.9,Kindle,2019
The Preening Peacock: A Rosalinda Alameda Mystery (a Cozy Zoo Short Story Book 1),Lisa Shea,4.0,Kindle,2015
Murder on Lot B (Starfire Cozy Mystery Book 1),London Lovett,4.2,Kindle,2019
Cruise Chaos: A Humorous Cruise Ship Cozy Mystery (Cruise Ship Cozy Mysteries Book 3),A.R. Winters,4.7,Kindle,2019
An Innovative Murder for the Season (A Lt. Sinclair Plate in Sand Waves Mystery Book 1),,4.3,Kindle,2015
An Innovative Murder for the Season (A Lt. Sinclair Plate in Sand Waves Mystery Book 1),,4.3,Kindle,2015
The Mystery of the Magic Toilet: An Unofficial Amazing Frog Adventure,,4.0,Paperback,2018
Murder in an Irish Pub (An Irish Village Mystery Book 4),Carlene O'Connor,4.5,Kindle,2019
Murder on Union Square (A Gaslight Mystery),Victoria Thompson,4.0,Mass Market Paperback,2019
Guadalupe Mysteries: Deciphering the Code,,5.0,Hardcover,2016
The Bride Wore Coveralls (Racing Book 1),Debra Ullrick,4.6,Kindle,2017
False Impressions (Megan Scott/Michael Elliott Mystery Book 1),Sandra Nikolai,4.2,Kindle,2012
First Bite: Sweet & Sour Mystery~ Book 1,Mac Flynn,4.3,Kindle,2018
Artifacts of Death (Manny Rivera Mystery Series Book 1),Rich Curtin,4.6,Kindle,2011
Shaded Light: The Case of the Tactless Trophy Wife (The Manziuk and Ryan Mysteries Book 1),J. A. Menzies,4.3,Kindle,2013
Murder at the Luau: A Pet Portraits Cozy Mystery,Sandi Scott,4.8,Paperback,2019
Motto for Murder (Merry Wrath Mysteries Book 6),Leslie Langtry,5.0,Kindle,2018
Maciek's Story (Haunted From Within - Book One):  A Mystery & Detective Paranormal Action & Adventure Medical Thriller Conspiracy,,3.9,Kindle,2018
On the Street Where You Die (Stanley Bentworth mysteries Book 1),Al Stevens,4.3,Kindle,2011
Dead Before The Wedding (Carly Keene Cozy Mysteries Book 1),Ruby Blaylock,4.3,Kindle,2015
Owl Be Home for Christmas: A Meg Langslow Mystery (Meg Langslow Mysteries),Donna Andrews,,Hardcover,2019
Dead Before The Wedding (Carly Keene Cozy Mysteries Book 1),Ruby Blaylock,4.3,Kindle,2015
Owl Be Home for Christmas: A Meg Langslow Mystery (Meg Langslow Mysteries),Donna Andrews,,Hardcover,2019
The Cat of Amontillado: A Cozy Mystery (The Psychic Cat Mysteries Book 1),SM Reine,5.0,Kindle,2019
Martha Rookie Angel: A Dingebury Town Mystery (The Seventh Task),Lee Marsh,5.0,Paperback,2019
Lady of Mystery (The Unconventional Ladies Book 1),Ellie St. Clair,4.7,Kindle,2019
Gone Daddy Gone (Sloane Monroe Book 7),Cheryl Bradshaw,4.6,Kindle,2017
Break-ins and Bloodshed (Hearts Grove Cozy Mystery Book 2),Danielle Collins,4.7,Kindle,2019
Better Off Wed (Annabelle Archer Wedding Planner Mystery Book 1),Laura Durham,4.3,Kindle,2017
The Midnight Line: A Jack Reacher Novel,Lee Child,4.3,Kindle,2017
Chaos in the Countryside: The Novella Prequel to The Faerie Apothecary Mysteries,Astoria Wright,4.4,Kindle,2018
Raining Men and Corpses: A Chinese Cozy Mystery (A Raina Sun Mystery Book 1),Anne R. Tan,4.2,Kindle,2014
Murder Among the Roses: A Violet Carlyle Cozy Historical Mystery (The Violet Carlyle Mysteries Book 5),Beth Byers,4.7,Kindle,2018
Where There's a Will: Inspector Stone Mysteries #1,Alex R Carver,4.2,Kindle,2017
The Donut Mysteries Cookbook,Jessica Beck,,Paperback,2019
Reckless: Book 1 of the Mia Kazmaroff Mysteries (Mia Kazmaroff Mystery Series),Susan Kiernan-Lewis,4.0,Kindle,2014
Books~ Barbecue and Murder: A Story Tree cozy Mystery Book 5,,2.0,Kindle,2019
THE BIRTHDAY MYSTERY an absolutely gripping whodunit,,4.0,Paperback,2018
Witnesses to Mystery: Investigations into Christ's Relics,,4.9,Hardcover,2013
Rosemary's Gravy (A We Sisters Three Mystery Book 1),Melissa F. Miller,4.3,Kindle,2015
A Secret Killer (Julia Blake Cozy Mystery Book 4),Gillian Larkin,4.5,Kindle,2015
Clubhouse Mysteries Super Sleuth Collection: The Buried Bones Mystery; Lost in the Tunnel of Time; Shadows of Caesar's Creek; The Space Mission ... Animal Show; Stars and Sparks on Stage,,4.3,Paperback,2016
Deadly Danger (A Seeing Colors Mystery Book 2),J A Whiting,4.9,Kindle,2019
Must Love Murder: A Sketchy Matchmaker Mystery,Etta Faire,4.5,Kindle,2016
A Pie To Vie For (Olivia Faulkner Mysteries Book 0),Kathryn Lin,3.9,Kindle,2017
First Touch: A Paranormal Suspense Story (Imprints Book 0),Teyla Branton,4.7,Kindle,2018
The Bear Trap (Mike Bowditch Mysteries),Paul Doiron,4.2,Kindle,2017
A Murderous Ride: Bunburry - A Cosy Mystery Series 2,,4.2,Audible Audiobook,2019
A Vintage View of Murder (Sky High Pies Cozy Mysteries Book 27),Mary Maxwell,4.5,Kindle,2019
The Killer in the Choir (A Fethering Mystery),Simon Brett,,Hardcover,2019
The Mysteries of Harris Burdick,Chris Van Allsburg,4.7,Hardcover,1984
The 12 Quilts of Christmas (A Harriet Truman/Loose Threads Mystery),Arlene Sachitano,,Kindle,2019
Killer Cruise: A Humorous Cruise Ship Cozy Mystery (Cruise Ship Cozy Mysteries Book 1),A.R. Winters,4.7,Kindle,2019
A Murderous Ride: Bunburry - A Cosy Mystery Series 2,,4.2,Audible Audiobook,2019
Tapas~ Carrot Cake and a Corpse (A Charlotte Denver Cozy Mystery~ Culinary Cozy Mystery Book 1),Sherri Bryan,4.2,Kindle,2015
Silent Bud Deadly (English Cottage Garden Mysteries ~ Book 2) (The English Cottage Garden Mysteries),H.Y. Hanna,4.9,Kindle,2019
Friend of the Devil (The Bill Walton Mysteries),James Kirkland,5.0,Paperback,2019
Murder on Trinity Place (A Gaslight Mystery),Victoria Thompson,,Hardcover,2019
Moonshine & Murder: Moonshine Hollow #1,Kathleen Brooks,4.5,Kindle,2019
The World Outside: Clean Amish and Motorcycle Club Romance,,4.0,Kindle,2019
Mark of the Loon (Gen Delacourt Mystery Book 1),Molly Greene,4.5,Kindle,2013
Snow Ordinary Family (Alaska Cozy Mystery Book 10),Wendy Meadows,4.6,Kindle,2019
Initiation in Paradise (Paradise Series Book 17),Deborah Brown,4.8,Kindle,2019
Ghostly Holiday (A Harper Harlow Mystery Book 11),Lily Harper Hart,5.0,Kindle,2019
MURDER IN THE VALLEYS: A cozy Welsh crime mystery full of twists,Pippa McCathie,4.6,Kindle,2018
Witches of The Wood: A Cozy Witch Mystery,Skylar Finn,4.6,Kindle,2019
Red Velvet and Revenge (Peridale Cafe Cozy Mystery),Agatha Frost,4.9,Paperback,2019
The Mystery of Catastrophe,Joel Richardson,5.0,Hardcover,2018
Dead Reckoning (The Still Waters Suspense Series Book 1),Dawn Lee McKenna,4.5,Kindle,2017
Dead in the Water: A Cherringham Mystery 1,,4.5,Audible Audiobook,2019
Marriages and Murder (Hang Ten Australian Cozy Mystery Book 11),Stacey Alabaster,4.9,Kindle,2019
Playing with Fire (Geek Girl Mysteries Book 1),Sherry D. Ficklin,4.1,Kindle Edition,2015
Who Slays the Wicked (Sebastian St. Cyr Mystery Book 14),C. S. Harris,4.5,Kindle,2019
[By Jonathan Cahn ] The Book of Mysteries (Paperback)【2018】by Jonathan Cahn (Author) (Paperback),,,Paperback,
Cold Lake (David Wolf Book 5),Jeff Carson,4.5,Kindle,2014
Very Special Forces (Lexi Graves Mysteries Book 12),Camilla Chafer,4.8,Kindle,2018
ECHOING THE MYSTERY,,4.5,Paperback,2018
The St. Valentine's Day Cookie Massacre (Hatter's Cove Mystery Series Book 1),Elisabeth Crabtree,4.2,Kindle,2014
Cooking the Books (Apple Orchard Cozy Mystery Book 2),Chelsea Thomas,4.5,Kindle,2019
Murder at the Mousetrap: Bunburry - A Cosy Mystery Series 1,,4.1,Audible Audiobook,2019
Shot Cross Buns: A Haunted Lodge Cozy Mystery (Haunted Lodge Cozy Mysteries Book 2),Tegan Maher,3.5,Kindle,2019
Temp Job of Murder (Lacy Steele Mystery Book 11),Vanessa Gray Bartal,4.9,Kindle,2019
A Sinister Spell in Faerywood Falls (Mountain Magic Mysteries Book 1),Blythe Baker,4.6,Kindle,2019
Murder in the Shallows: A Violet Carlyle Historical Mystery (The Violet Carlyle Mysteries Book 6),Beth Byers,4.4,Kindle,2019
Murder at Benbury Brook: An absolutely gripping English cozy mystery (A Melissa Craig Mystery Book 9),Betty Rowlands,4.5,Kindle,2019
Murder at Benbury Brook: An absolutely gripping English cozy mystery (A Melissa Craig Mystery Book 9),Betty Rowlands,4.5,Kindle,2019
The First Faux Pas: A Lora Weaver Mystery,Katy Leen,4.2,Kindle,2013
Prepped to Kill (Ricky Steele Mysteries Book 1),M. Lee Prescott,4.2,Kindle,2011
A Huge Collection of Cozy Mysteries: 20 Books Box Set,Lori Woods,3.7,Kindle,2019
Sins of the Past: A riveting suspense novel that keeps you guessing until the end (A Cooper and White Mystery Book 1),Julia Derek,3.8,Kindle,2016
Divine Blindside: A Divine Cozy Mystery (Divine Christian Cozy Mysteries Series Book 3),Hope Callaghan,4.9,Kindle,2019
Light Parade: A Detective Lottie King Holiday Mystery,Shelley Coriell,3.9,Kindle,2016
Change of Fortune (A Miss Fortune Mystery) (Volume 11),Jana DeLeon,4.9,Paperback,2018
Men~ Women~ and the Mystery of Love: Practical Insights from John Paul II’s Love and Responsibility,Edward Sri,4.8,Paperback,2015
The Gossiping Gourmet: Murder in Marin Mystery - Book 1 (Murder in Marin Mysteries),Martin Brown,3.7,Kindle,2014
Past Tense: A Jack Reacher Novel,Lee Child,3.9,Kindle,2018
Sweet and Sassy Mysteries - 3 Book Series Box Set: Cozy Mystery Bundle,Maisie Dean,5.0,Kindle,2019
Ashley Crane Cozy Mystery Boxed Set,Laurie Anne Marie,4.6,Kindle,2019
Illusion: An Eomix Galaxy Novel (Book 1 of 2),Christa Yelich-Koth,4.5,Kindle,2015
Mystery of History Vol 4,Linda Lacour Hobar,4.9,Hardcover,2014
Entanglement Of Fate: Elliott's Register Mysteries: Book 1,Chris Brookes,4.1,Kindle,2013
Vigilantes and Lovers (J.R. Finn Sailing Mystery Series Book 3),,4.7,Kindle,2019
WALKING INTO MURDER (The Professor Laura Morland Mystery Series),Joan Dahr Lambert,3.3,Kindle,2010
Buried (Twisted Cedar Mysteries Book 1),C. J. Carmichael,4.4,Kindle,2012
The Mystery of Black Hollow Lane,Julia Nobel,4.8,Hardcover,2019
